City_ID,City,Country,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Current Description
252,Camacha,PT,33.0833,-16.3333,62.53,88,40,4.63,scattered clouds
253,New Norfolk,AU,-42.7826,147.0587,68.76,73,100,0.89,overcast clouds
254,Bilma,NE,18.6853,12.9164,51.75,25,2,5.4,clear sky
255,Santa Maria,BR,-29.6842,-53.8069,71.6,45,0,3.65,clear sky
256,Kilimatinde,TZ,-5.85,34.95,69.21,69,100,1.31,overcast clouds
257,Phalombe,MW,-15.8064,35.6507,66.22,94,100,0.31,overcast clouds
258,Calbuco,CL,-41.768,-73.1273,67.21,84,46,4.11,scattered clouds
259,Shubarshi,KZ,48.5872,57.1869,2.8,84,10,4.52,clear sky
260,Chicama,PE,-7.8447,-79.1469,68.54,69,31,3.09,scattered clouds
261,Fuxin,CN,42.0156,121.6589,13.66,56,99,3.26,overcast clouds
262,Tasiilaq,GL,65.6145,-37.6368,32.16,70,100,21.38,overcast clouds
263,Prince Rupert,CA,54.3161,-130.3201,40.35,92,100,8.91,moderate rain
264,Hambantota,LK,6.1241,81.1185,75.6,88,100,4.92,overcast clouds
265,Esperance,AU,-33.8667,121.9,63.18,65,100,7.12,overcast clouds
266,Machiques,VE,10.0644,-72.545,77.31,60,37,4.83,scattered clouds
267,Bar Harbor,US,44.3876,-68.2039,42.03,81,100,4.92,overcast clouds
268,Bom Jardim,BR,-7.7958,-35.5872,74.37,80,23,3.5,few clouds
269,Cidreira,BR,-30.1811,-50.2056,72.43,72,42,8.07,scattered clouds
270,High Level,CA,58.5169,-117.136,-8.72,93,100,2.78,overcast clouds
271,Bridlington,GB,54.0831,-0.1919,42.73,89,91,4.26,overcast clouds
272,Thompson,CA,55.7435,-97.8558,-15.36,86,97,5.27,overcast clouds
273,Kozhva,RU,65.1073,57.0459,2.68,93,100,4.21,overcast clouds
274,Dryden,CA,49.7833,-92.7503,-11.78,88,100,4.86,overcast clouds
275,Fonte Boa,BR,-2.4959,-66.2662,74.21,98,99,1.23,overcast clouds
276,Samarai,PG,-10.6167,150.6667,81.95,77,86,1.7,overcast clouds
277,Lengshuijiang,CN,27.6881,111.4294,44.62,87,100,0.28,overcast clouds
278,Xunchang,CN,28.4543,104.715,48.27,81,100,1.14,overcast clouds
279,Coihaique,CL,-45.5752,-72.0662,62.55,51,75,3.6,broken clouds
280,Snasa,NO,64.2457,12.3778,6.67,93,8,2.95,clear sky
281,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,77,81,4.83,broken clouds
282,Malartic,CA,48.1335,-78.1328,3.02,78,100,5.88,overcast clouds
283,Zonguldak,TR,41.25,31.8333,43.57,70,87,2.51,overcast clouds
284,Beihai,CN,21.4833,109.1,61.9,83,100,4.22,overcast clouds
285,Guerrero Negro,MX,27.9769,-114.0611,67.19,51,100,2.7,overcast clouds
286,Grand Baie,MU,-20.0182,57.5802,76.44,87,76,1.79,broken clouds
287,Kesova Gora,RU,57.5836,37.2922,13.24,98,100,0.96,overcast clouds
288,Mityana,UG,0.4175,32.0228,71.19,72,100,0.88,overcast clouds
289,Saint-Pierre,RE,-21.3393,55.4781,76.68,83,0,2.06,clear sky
290,Menongue,AO,-14.6585,17.691,62.64,88,100,1.39,overcast clouds
